WD,Av_WS,Mx_WS,1h_RF,24h_RF,Tem,Hum,b_PR
45,0,0.45,0,0,17.78,59,1005.8
0,0,0.45,0,0,18.33,58,1005.7
0,0,0,0,0,18.33,58,1005.8
0,0,0,0,0,18.33,57,1005.7
0,0,0,0,0,18.33,58,1005.8
0,0,0.45,0,0,18.33,58,1005.7
0,0,0.45,0,0,18.33,58,1005.6
45,0,0,0,0,18.33,58,1005.6
0,0,0.45,0,0,17.78,58,1005.6
0,0,0.45,0,0,17.78,58,1005.7
45,0,0.45,0,0,17.78,58,1005.6
0,0,0.45,0,0,17.78,58,1005.7
0,0,0,0,0,17.78,58,1005.7
0,0,0,0,0,17.78,57,1005.7
0,0,0.45,0,0,17.78,58,1005.7
225,0,0.45,0,0,17.78,58,1005.7
270,0,0.45,0,0,17.78,58,1005.7
0,0,0.45,0,0,17.78,58,1005.6
0,0,0.45,0,0,17.78,57,1005.6
45,0,0.45,0,0,17.78,57,1005.6
225,0,0.45,0,0,17.78,57,1005.6
0,0,0.89,0,0,17.78,57,1005.6
0,0,0.89,0,0,17.78,57,1005.6
315,0,0.45,0,0,17.78,58,1005.6
0,0,0,0,0,17.78,58,1005.6
0,0,0.45,0,0,17.78,57,1005.6
45,0,0.45,0,0,17.78,57,1005.6
45,0,0.89,0,0,17.78,57,1005.5
45,0,0.89,0,0,17.78,57,1005.5
270,0,0.45,0,0,17.78,57,1005.6
0,0,0.45,0,0,17.78,57,1005.6
0,0,0.45,0,0,17.78,57,1005.6
0,0,0,0,0,17.22,58,1005.6
315,0,0.45,0,0,17.78,57,1005.6
0,0,0,0,0,17.78,57,1005.6
315,0,0,0,0,17.78,56,1005.6
0,0,0,0,0,17.78,57,1005.5
0,0,0,0,0,17.78,57,1005.6
45,0,0.45,0,0,17.22,57,1005.6
45,0,0,0,0,17.22,58,1005.5
0,0,0,0,0,17.78,56,1005.5
0,0,0.45,0,0,17.78,56,1005.6
0,0,0.45,0,0,17.78,56,1005.6
45,0,0.45,0,0,17.78,57,1005.5
45,0,0,0,0,17.78,56,1005.6
0,0,0.89,0,0,17.22,58,1005.5
0,0,0.89,0,0,17.22,57,1005.5
0,0,0,0,0,17.22,58,1005.6
0,0,0.45,0,0,17.22,58,1005.7
0,0,0.45,0,0,17.22,57,1005.6
0,0,0.45,0,0,17.78,56,1005.5
0,0,0.45,0,0,17.78,55,1005.6
45,0,0.45,0,0,17.78,56,1005.6
45,0,0.45,0,0,17.78,56,1005.6
225,0,0.45,0,0,17.78,55,1005.6
0,0,0.45,0,0,17.78,55,1005.7
0,0,0,0,0,17.78,56,1005.7
0,0,0.45,0,0,17.78,55,1005.7
270,0,0.45,0,0,17.78,56,1005.7
0,0,0.45,0,0,17.22,56,1005.7
270,0,0.45,0,0,17.78,55,1005.7
45,0,0.45,0,0,17.78,55,1005.7
0,0,0.45,0,0,17.78,56,1005.7
45,0,0.89,0,0,17.78,56,1005.7
0,0,0.89,0,0,17.78,56,1005.7
45,0,0.89,0,0,17.78,55,1005.7
